id_matricula;id_aluno;id_disciplina
M001;A01;D01
M002;A01;D02
M003;A01;D03
M004;A02;D01
M005;A02;D02
M006;A02;D03
M007;A03;D01
M008;A03;D02
M009;A03;D03
M010;A04;D01
M011;A04;D02
M012;A04;D03
M013;A05;D01
M014;A05;D02
M015;A05;D03
M016;A06;D01
M017;A06;D02
M018;A06;D03
M019;A07;D01
M020;A07;D02
M021;A07;D03
M022;A08;D04
M023;A08;D05
M024;A08;D06
M025;A09;D04
M026;A09;D05
M027;A09;D06
M028;A10;D04
M029;A10;D05
M030;A10;D06
M031;A11;D04
M032;A11;D05
M033;A11;D06
M034;A12;D04
M035;A12;D05
M036;A12;D06
M037;A13;D04
M038;A13;D05
M039;A13;D06
M040;A14;D04
M041;A14;D05
M042;A14;D06
M043;A15;D04
M044;A15;D05
M045;A15;D06
M046;A16;D07
M047;A16;D08
M048;A16;D09
M049;A17;D07
M050;A17;D08
M051;A17;D09
M052;A18;D07
M053;A18;D08
M054;A18;D09
M055;A19;D07
M056;A19;D08
M057;A19;D09
M058;A20;D07
M059;A20;D08
M060;A20;D09
M061;A21;D07
M062;A21;D08
M063;A21;D09
M064;A22;D07
M065;A22;D08
M066;A22;D09
M067;A23;D10
M068;A23;D11
M069;A23;D12
M070;A24;D10
M071;A24;D11
M072;A24;D12
M073;A25;D10
M074;A25;D11
M075;A25;D12
M076;A26;D10
M077;A26;D11
M078;A26;D12
M079;A27;D10
M080;A27;D11
M081;A27;D12
M082;A28;D10
M083;A28;D11
M084;A28;D12
M085;A29;D10
M086;A29;D11
M087;A29;D12
M088;A30;D10
M089;A30;D11
M090;A30;D12
M091;A01;D04
M092;A08;D01
M093;A16;D02
M094;A23;D03
M095;A05;D07
M096;A12;D08
M097;A19;D10
M098;A26;D11
M099;A02;D05
M100;A17;D12
